frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
37,1,0,car,0.8507,0,408,101,481
37,2,0,car,0.839,115,313,230,370
37,3,0,car,0.8158,73,200,148,239
37,4,0,car,0.7967,588,210,658,247
37,5,0,car,0.7956,479,213,557,249
37,6,0,car,0.7906,710,165,769,194
37,7,0,car,0.7305,295,144,342,191
37,8,0,car,0.6088,296,137,324,157
37,9,0,car,0.5762,305,55,328,72
37,10,0,car,0.4806,291,137,319,156
37,11,0,car,0.2515,296,55,318,72
38,1,0,car,0.8533,0,403,115,475
38,2,0,car,0.8456,118,311,233,367
38,3,0,car,0.814,70,199,147,239
38,4,0,car,0.7959,476,212,553,248
38,5,0,car,0.7932,583,209,655,247
38,6,0,car,0.7895,706,164,766,194
38,7,0,car,0.7311,295,143,342,190
38,8,0,car,0.6252,295,136,322,156
38,9,0,car,0.5665,304,54,327,72
38,10,0,car,0.2664,316,54,338,72
39,1,0,car,0.8507,6,395,135,464
39,2,0,car,0.8383,123,306,239,362
39,3,0,car,0.8163,63,199,142,239
39,4,0,car,0.8041,573,210,647,246
39,5,0,car,0.799,471,210,546,248
39,6,0,car,0.7912,698,164,762,192
39,7,0,car,0.7265,297,141,342,188
39,8,0,car,0.6136,297,135,323,154
39,9,0,car,0.5752,306,52,328,70
39,10,0,car,0.2874,307,134,332,152
39,11,0,car,0.281,317,53,338,70
40,1,0,car,0.8516,14,390,147,459
40,2,0,car,0.8382,127,305,241,358
40,3,0,car,0.8174,61,199,138,238
40,4,0,car,0.8062,570,209,645,245
40,5,0,car,0.7973,468,209,543,247
40,6,0,car,0.7962,694,163,759,192
40,7,0,car,0.7254,298,140,343,187
40,8,0,car,0.618,297,134,323,152
40,9,0,car,0.5364,305,52,327,69
40,10,0,car,0.4212,311,52,333,70
41,1,0,car,0.8406,129,302,243,355
41,2,0,car,0.8232,22,385,160,454
41,3,0,car,0.8159,58,199,135,238
41,4,0,car,0.8049,564,209,640,245
41,5,0,car,0.7984,463,208,539,246
41,6,0,car,0.7964,692,163,756,191
41,7,0,car,0.7258,297,138,343,186
41,8,0,car,0.6149,297,133,323,151
